transaction_id,timestamp,user_id,amount,city,transaction_type,operator,status
TXN1770849049191_2162,2026-02-04 22:30:49,user_759536450,100000.0,Kaolack,transfer,Free Money,completed
TXN1770849049120_7784,2026-02-04 22:30:49,user_757059233,100000.0,Kaolack,transfer,Orange Money,completed
TXN1770849049140_3905,2026-02-04 22:30:49,user_762432902,88101.0,Thiès,withdrawal,Orange Money,completed
TXN1770849049111_6337,2026-02-04 22:30:49,user_708250024,34724.0,Kaolack,payment,Free Money,completed
TXN1770849049102_1523,2026-02-04 22:30:49,user_755985521,24929.0,Thiès,payment,Free Money,completed
TXN1770849049011_8032,2026-02-04 22:30:49,user_785886733,14547.0,Ziguinchor,transfer,Wave,completed
TXN1770849049085_4628,2026-02-04 22:30:49,user_752751116,35150.0,Saint-Louis,payment,Free Money,completed
TXN1770849049060_2500,2026-02-04 22:30:49,user_782538535,36212.0,Thiès,transfer,Orange Money,completed
TXN1770849049187_2329,2026-02-04 22:30:49,user_761024662,58513.0,Saint-Louis,transfer,Wave,completed
TXN1770849049070_3676,2026-02-04 22:30:49,user_772318598,41992.0,Thiès,transfer,Wave,completed
TXN1770849049089_5734,2026-02-04 22:30:49,user_758495025,65413.0,Thiès,withdrawal,Wave,completed
TXN1770849049138_8143,2026-02-04 22:30:49,user_774695683,22146.0,Dakar,payment,Orange Money,completed
TXN1770849049082_8722,2026-02-04 22:30:49,user_766660327,20775.0,Kaolack,transfer,Wave,completed
TXN1770849049092_7529,2026-02-04 22:30:49,user_787877137,6906.0,Kaolack,payment,Orange Money,completed
TXN1770849049161_2783,2026-02-04 22:30:49,user_751176788,181877.0,Dakar,withdrawal,Free Money,completed
TXN1770849049023_1172,2026-02-04 22:30:49,user_786093108,50000.0,Kaolack,payment,Free Money,completed
TXN1770849049217_9964,2026-02-04 22:30:49,user_774709126,13140.0,Ziguinchor,payment,Wave,completed
TXN1770849049117_4712,2026-02-04 22:30:49,user_705338420,14628.0,Kaolack,transfer,Orange Money,completed
TXN1770849049069_7807,2026-02-04 22:30:49,user_763008248,11398.0,Kaolack,payment,Free Money,completed
TXN1770849049097_5118,2026-02-04 22:30:49,user_752575728,25859.0,Thiès,transfer,Orange Money,completed
TXN1770849049096_7159,2026-02-04 22:30:49,user_786481399,30015.0,Kaolack,transfer,Wave,completed
TXN1770849049077_3879,2026-02-04 22:30:49,user_784859085,21360.0,Dakar,payment,Orange Money,completed
TXN1770849049023_8439,2026-02-04 22:30:49,user_757159129,23323.0,Saint-Louis,payment,Free Money,completed
TXN1770849049125_8721,2026-02-04 22:30:49,user_772988097,6091.0,Dakar,payment,Wizall,completed
TXN1770849049016_2559,2026-02-04 22:30:49,user_702530068,96833.0,Saint-Louis,withdrawal,Wave,completed
TXN1770849049070_4665,2026-02-04 22:30:49,user_789026510,31654.0,Dakar,withdrawal,Orange Money,completed
TXN1770849049058_3760,2026-02-04 22:30:49,user_762602061,23981.0,Dakar,payment,Orange Money,completed
TXN1770849049007_8144,2026-02-04 22:30:49,user_761744682,31555.0,Ziguinchor,payment,Wave,completed
TXN1770849049152_9848,2026-02-04 22:30:49,user_775074092,5894.0,Dakar,transfer,Wave,completed
TXN1770849049190_3329,2026-02-04 22:30:49,user_781170423,54162.0,Ziguinchor,transfer,Wizall,completed
TXN1770849049216_3517,2026-02-04 22:30:49,user_774259728,5698.0,Kaolack,payment,Wizall,completed
TXN1770849049093_1198,2026-02-04 22:30:49,user_762060643,27991.0,Ziguinchor,transfer,Wizall,completed
TXN1770849049105_5752,2026-02-04 22:30:49,user_703156471,31328.0,Saint-Louis,withdrawal,Wave,completed
TXN1770849049079_2941,2026-02-04 22:30:49,user_774410194,15948.0,Thiès,transfer,Free Money,completed
TXN1770849049094_9844,2026-02-04 22:30:49,user_778028787,19512.0,Saint-Louis,transfer,Orange Money,completed
TXN1770849049223_7187,2026-02-04 22:30:49,user_771115006,14141.0,Dakar,transfer,Wave,completed
TXN1770849049143_7215,2026-02-04 22:30:49,user_773314474,14515.0,Dakar,payment,Orange Money,completed
TXN1770849049036_1684,2026-02-04 22:30:49,user_758578973,47715.0,Thiès,withdrawal,Wizall,completed
TXN1770849049040_4079,2026-02-04 22:30:49,user_757931114,15096.0,Kaolack,transfer,Wizall,completed
TXN1770849049161_6651,2026-02-04 22:30:49,user_752245952,17768.0,Thiès,payment,Orange Money,completed
TXN1770849049082_1818,2026-02-04 22:30:49,user_701115555,15415.0,Kaolack,payment,Free Money,completed
TXN1770849049203_6473,2026-02-04 22:30:49,user_706585848,38863.0,Kaolack,transfer,Wizall,completed
TXN1770849049126_7814,2026-02-04 22:30:49,user_754574029,145339.0,Dakar,deposit,Wave,completed
TXN1770849049066_2989,2026-02-04 22:30:49,user_773610008,97606.0,Ziguinchor,withdrawal,Orange Money,completed
TXN1770849049147_1751,2026-02-04 22:30:49,user_762490530,17706.0,Dakar,transfer,Wizall,completed
TXN1770849049047_5718,2026-02-04 22:30:49,user_765831713,38931.0,Thiès,payment,Wave,completed
TXN1770849049212_8477,2026-02-04 22:30:49,user_709440273,50000.0,Thiès,payment,Free Money,completed
TXN1770849049218_3526,2026-02-04 22:30:49,user_702383213,93330.0,Thiès,transfer,Orange Money,completed
TXN1770849049157_8869,2026-02-04 22:30:49,user_763477314,33193.0,Kaolack,transfer,Wizall,completed
TXN1770849049220_1185,2026-02-04 22:30:49,user_779211740,13572.0,Kaolack,payment,Wizall,completed
TXN1770849049197_8296,2026-02-04 22:30:49,user_751998397,43726.0,Saint-Louis,transfer,Orange Money,completed
TXN1770849049084_3754,2026-02-04 22:30:49,user_701351260,57892.0,Kaolack,transfer,Wizall,completed
TXN1770849049115_4204,2026-02-04 22:30:49,user_701191560,47651.0,Ziguinchor,transfer,Wave,completed
TXN1770849049008_8814,2026-02-04 23:30:49,user_757381734,39104.0,Ziguinchor,transfer,Orange Money,completed
TXN1770849049165_4040,2026-02-04 23:30:49,user_786484066,3988.0,Dakar,payment,Wave,completed
TXN1770849049021_1089,2026-02-04 23:30:49,user_764171246,31680.0,Ziguinchor,transfer,Wizall,completed
TXN1770849049124_5068,2026-02-04 23:30:49,user_756917343,29875.0,Saint-Louis,transfer,Wizall,completed
TXN1770849049188_5667,2026-02-04 23:30:49,user_703963519,20407.0,Ziguinchor,transfer,Free Money,completed
TXN1770849049145_5932,2026-02-04 23:30:49,user_709217358,21707.0,Dakar,payment,Free Money,completed
TXN1770849049010_6751,2026-02-04 23:30:49,user_766701311,65997.0,Thiès,withdrawal,Free Money,completed
TXN1770849049148_8068,2026-02-04 23:30:49,user_754724223,22186.0,Ziguinchor,payment,Free Money,completed
TXN1770849049072_4673,2026-02-04 23:30:49,user_765390715,112974.0,Saint-Louis,withdrawal,Wizall,completed
TXN1770849049016_3466,2026-02-04 23:30:49,user_785112546,28821.0,Ziguinchor,transfer,Wizall,completed
TXN1770849049047_6010,2026-02-04 23:30:49,user_779193429,61809.0,Ziguinchor,withdrawal,Orange Money,completed
TXN1770849049048_3302,2026-02-04 23:30:49,user_781557661,14094.0,Dakar,payment,Orange Money,completed
TXN1770849049161_4194,2026-02-04 23:30:49,user_778334649,29137.0,Ziguinchor,transfer,Wizall,completed
TXN1770849049212_8964,2026-02-04 23:30:49,user_769332604,10568.0,Ziguinchor,transfer,Free Money,completed
TXN1770849049106_1714,2026-02-04 23:30:49,user_777057598,9055.0,Kaolack,payment,Orange Money,completed
TXN1770849049045_4957,2026-02-04 23:30:49,user_767957788,25840.0,Saint-Louis,payment,Free Money,completed
TXN1770849049191_9521,2026-02-04 23:30:49,user_784379310,24842.0,Kaolack,payment,Wave,completed
TXN1770849049204_9775,2026-02-04 23:30:49,user_755354243,62517.0,Dakar,transfer,Wave,completed
TXN1770849049167_9451,2026-02-04 23:30:49,user_701907391,17791.0,Thiès,transfer,Wave,completed
TXN1770849049036_6181,2026-02-04 23:30:49,user_758530646,51263.0,Saint-Louis,withdrawal,Wizall,completed
TXN1770849049026_6307,2026-02-04 23:30:49,user_769500841,10141.0,Dakar,payment,Free Money,completed
TXN1770849049231_8726,2026-02-04 23:30:49,user_779535834,34577.0,Dakar,payment,Orange Money,completed
TXN1770849049104_4284,2026-02-04 23:30:49,user_758152773,20782.0,Thiès,transfer,Wave,completed
TXN1770849049232_9658,2026-02-04 23:30:49,user_755563314,99333.0,Ziguinchor,withdrawal,Orange Money,completed
TXN1770849049078_5587,2026-02-04 23:30:49,user_756504576,73670.0,Thiès,transfer,Wave,completed
TXN1770849049135_6347,2026-02-04 23:30:49,user_782567293,6571.0,Ziguinchor,transfer,Free Money,completed
TXN1770849049100_8015,2026-02-04 23:30:49,user_758427582,37841.0,Saint-Louis,transfer,Free Money,completed
TXN1770849049222_4843,2026-02-04 23:30:49,user_789477757,10144.0,Ziguinchor,payment,Wizall,completed
TXN1770849049042_8985,2026-02-04 23:30:49,user_703077734,175212.0,Ziguinchor,withdrawal,Wave,completed
TXN1770849049123_6876,2026-02-04 23:30:49,user_772996745,8562.0,Thiès,transfer,Free Money,completed
TXN1770849049195_8405,2026-02-04 23:30:49,user_771209631,59487.0,Kaolack,transfer,Orange Money,completed
TXN1770849049186_1924,2026-02-04 23:30:49,user_758785721,35652.0,Ziguinchor,transfer,Free Money,completed
TXN1770849049055_5813,2026-02-04 23:30:49,user_777735482,30722.0,Ziguinchor,transfer,Wizall,completed
TXN1770849049164_6558,2026-02-04 23:30:49,user_789073915,8020.0,Thiès,transfer,Free Money,completed
TXN1770849049229_4026,2026-02-04 23:30:49,user_778657036,17146.0,Kaolack,transfer,Wizall,completed
TXN1770849049205_1504,2026-02-04 23:30:49,user_776206949,73468.0,Dakar,transfer,Wave,completed
TXN1770849049030_2449,2026-02-04 23:30:49,user_777304414,32263.0,Ziguinchor,transfer,Free Money,completed
TXN1770849049098_5851,2026-02-04 23:30:49,user_758924037,50000.0,Saint-Louis,payment,Orange Money,completed
TXN1770849049145_2482,2026-02-04 23:30:49,user_751815567,48082.0,Kaolack,transfer,Wizall,completed
TXN1770849049228_5596,2026-02-04 23:30:49,user_771229688,8668.0,Thiès,payment,Wave,completed
TXN1770849049102_2681,2026-02-04 23:30:49,user_758467198,73757.0,Saint-Louis,transfer,Orange Money,completed
TXN1770849049126_5548,2026-02-04 23:30:49,user_774952714,34095.0,Kaolack,transfer,Free Money,completed
TXN1770849049117_8541,2026-02-04 23:30:49,user_752673074,81938.0,Saint-Louis,withdrawal,Free Money,completed
TXN1770849049041_3948,2026-02-04 23:30:49,user_774031041,37311.0,Dakar,transfer,Wave,completed
TXN1770849049131_5735,2026-02-04 23:30:49,user_756650849,91527.0,Ziguinchor,withdrawal,Free Money,completed
TXN1770849049215_5179,2026-02-04 23:30:49,user_764079616,27833.0,Dakar,payment,Free Money,completed
TXN1770849049185_3560,2026-02-04 23:30:49,user_706001552,4618.0,Kaolack,payment,Wave,completed
TXN1770849049209_7981,2026-02-04 23:30:49,user_758134214,42809.0,Thiès,withdrawal,Wave,completed
TXN1770849049085_6120,2026-02-04 23:30:49,user_754778634,21552.0,Dakar,payment,Wave,completed
TXN1770849049227_6893,2026-02-04 23:30:49,user_785643235,20992.0,Ziguinchor,payment,Wave,completed
TXN1770849049154_3733,2026-02-04 23:30:49,user_789553014,15113.0,Kaolack,withdrawal,Wizall,completed
TXN1770849049092_3166,2026-02-04 23:30:49,user_788159756,43347.0,Thiès,transfer,Wizall,completed
TXN1770849049149_1811,2026-02-04 23:30:49,user_759256696,99537.0,Kaolack,transfer,Wizall,completed
TXN1770849049006_5557,2026-02-04 23:30:49,user_788536477,38154.0,Thiès,payment,Wizall,completed
TXN1770849049148_1225,2026-02-04 23:30:49,user_767691642,70004.0,Kaolack,transfer,Wizall,completed
TXN1770849049228_7687,2026-02-04 23:30:49,user_772247900,45902.0,Kaolack,transfer,Wave,completed
TXN1770849049015_7370,2026-02-04 23:30:49,user_708206700,26738.0,Ziguinchor,transfer,Wave,completed
TXN1770849049097_5499,2026-02-04 23:30:49,user_708230198,45342.0,Thiès,transfer,Free Money,completed
TXN1770849049230_3286,2026-02-04 23:30:49,user_755001097,28949.0,Dakar,withdrawal,Wizall,completed
TXN1770849049072_3452,2026-02-04 23:30:49,user_767933678,40993.0,Kaolack,withdrawal,Wizall,completed
TXN1770849049047_3797,2026-02-05 00:30:49,user_762291460,23540.0,Dakar,transfer,Wave,completed
TXN1770849049122_6006,2026-02-05 00:30:49,user_758906186,45004.0,Kaolack,transfer,Wizall,completed
TXN1770849049190_2962,2026-02-05 00:30:49,user_758246577,7440.0,Dakar,transfer,Wave,completed
TXN1770849049105_2007,2026-02-05 00:30:49,user_781018399,60977.0,Ziguinchor,withdrawal,Wizall,completed
TXN1770849049190_3309,2026-02-05 00:30:49,user_766596259,8128.0,Ziguinchor,payment,Wave,completed
TXN1770849049064_3718,2026-02-05 00:30:49,user_769501309,20196.0,Saint-Louis,transfer,Wave,completed
TXN1770849049130_8303,2026-02-05 00:30:49,user_774429497,151474.0,Thiès,withdrawal,Free Money,completed
TXN1770849049168_5597,2026-02-05 00:30:49,user_709125967,13481.0,Saint-Louis,payment,Free Money,completed
TXN1770849049022_6171,2026-02-05 00:30:49,user_758718703,30593.0,Kaolack,payment,Orange Money,completed
TXN1770849049143_8123,2026-02-05 00:30:49,user_771818876,104613.0,Kaolack,withdrawal,Free Money,completed
TXN1770849049113_1063,2026-02-05 00:30:49,user_752448717,76931.0,Saint-Louis,withdrawal,Wizall,completed
